open	high	low	close	volume	macd	signal	position	pct change	strategy_returns	cumulative_returns
2639.74	2639.75	2639.12	2639.12	63.2518	-1.14808576008636	-1	0.0	-0.00023865896391705999	-0.0	0.10586140118788778
2639.12	2639.26	2639.12	2639.2	55.4304	-1.2672624713704863	-1	0.0	3.031313468127017e-05	0.0	0.10586140118788778
2639.21	2640.75	2639.2	2640.43	67.5802	-1.0514632697609159	-1	0.0	0.00046605031827828824	0.0	0.10586140118788778
2640.43	2640.43	2639.51	2639.51	41.8863	-1.0913861392887156	-1	0.0	-0.00034842809693858	-0.0	0.10586140118788778
2639.51	2640.6	2639.09	2639.94	97.7816	-1.0028297868670961	-1	0.0	0.00016290902478099945	0.0	0.10586140118788778
2639.94	2640.6	2639.94	2640.26	37.2293	-0.8543874354909349	-1	0.0	0.0001212148760956211	0.0	0.10586140118788778
2640.26	2640.35	2639.35	2640.08	291.2136	-0.7792644369123991	-1	0.0	-6.817510396717186e-05	-0.0	0.10586140118788778
2640.08	2640.34	2639.0	2639.0	31.4063	-0.9535967293472822	-1	0.0	-0.00040907851277227625	-0.0	0.10586140118788778
2639.0	2641.0	2638.45	2639.89	127.0592	-0.8556418698349262	-1	0.0	0.0003372489579385185	0.0	0.10586140118788778
2639.9	2640.09	2639.03	2639.92	65.8267	-0.7677800167998612	-1	0.0	1.1364109868239325e-05	0.0	0.10586140118788778
2639.91	2640.43	2639.25	2639.26	79.6105	-0.8409086400379238	-1	0.0	-0.0002500075759871434	-0.0	0.10586140118788778
2639.26	2641.36	2639.26	2640.87	120.5529	-0.5181437359337906	-1	0.0	0.0006100194751557098	0.0	0.10586140118788778
2640.87	2640.87	2639.5	2640.13	140.946	-0.45660693391164386	-1	0.0	-0.00028021068814432226	-0.0	0.10586140118788778
2640.13	2640.14	2639.53	2639.78	230.1452	-0.4844905098157142	-1	0.0	-0.00013256922954552053	-0.0	0.10586140118788778
2639.79	2641.36	2639.49	2641.35	208.7008	-0.1469105856999704	-1	0.0	0.0005947465319078304	0.0	0.10586140118788778
2641.35	2641.36	2641.35	2641.36	36.7854	0.08358126379107489	1	2.0	3.7859427943764956e-06	0.00022715656766258974	0.10608855775555037
2641.35	2642.59	2641.35	2642.41	70.8013	0.4683139509852481	1	0.0	0.00039752248841495863	0.0	0.10608855775555037
2642.4	2642.41	2640.99	2641.19	41.3094	0.44689912996773273	1	0.0	-0.0004616997362255626	-0.0	0.10608855775555037
2641.19	2641.2	2640.89	2640.89	13.37	0.3579924683667741	1	0.0	-0.00011358516426318577	-0.0	0.10608855775555037
2640.9	2641.18	2640.53	2640.53	26.0154	0.21235451534539607	1	0.0	-0.0001363176807817057	-0.0	0.10608855775555037
2640.52	2640.99	2639.62	2640.47	48.869	0.09785257410339909	1	0.0	-2.2722710971034843e-05	-0.0	0.10608855775555037
2640.47	2641.18	2640.3	2641.18	40.8614	0.17658901752929523	1	0.0	0.0002688915231001676	0.0	0.10608855775555037
2641.19	2641.19	2639.3	2639.3	46.1899	-0.1899067049284895	-1	-2.0	-0.0007118030577241141	0.04270818346344685	0.14879674121899722
2639.3	2639.76	2639.3	2639.31	44.4858	-0.42908759403781005	-1	0.0	3.788883415900557e-06	0.0	0.14879674121899722
